,name,dataset,algorithm,accuracy,time,time-per-pattern,clique-precision,clique-recall,bipartite core-precision,bipartite core-recall,star-precision,star-recall,chain-precision,chain-recall,none-precision,none-recall
56,7-1662008650057,synthetic-1-87-3,MinLA,0.6140350877192983,17018,5672.666666666667,0.7777777777777778,1.0,0.0,0.0,0.875,1.0,1.0,1.0,0.0,0.0
57,12-1662090291751,synthetic-1-87-3,MinLA,0.8070175438596491,40382,5768.857142857143,1.0,1.0,0.26666666666666666,1.0,1.0,0.6666666666666666,1.0,0.7,0.0,0.0
58,13-1662121289542,synthetic-1-87-3,MinLA,0.7894736842105263,36319,7263.8,1.0,1.0,0.26666666666666666,1.0,0.875,1.0,1.0,0.5833333333333334,0.0,0.0
59,14-1662122943293,synthetic-1-87-3,MinLA,0.7192982456140351,40245,13415.0,1.0,1.0,0.0,0.0,0.875,1.0,1.0,1.0,0.0,0.0
60,1-1661934866373,synthetic-3-94-3,MinLA,0.6896551724137931,14083,4694.333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8571428571428571,0.0,0.0
61,3-1661999533002,synthetic-3-94-3,MinLA,0.6724137931034483,13010,4336.666666666667,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,1.0,0.8571428571428571,0.0,0.0
62,5-1662002195049,synthetic-3-94-3,MinLA,0.6896551724137931,89112,29704.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8571428571428571,0.0,0.0
63,9-1662010258606,synthetic-3-94-3,MinLA,0.6896551724137931,25347,8449.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.05263157894736842
64,0-1661933688574,synthetic-3-94-3,MinLA,0.5344827586206896,92587,9258.7,0.5555555555555556,0.8333333333333334,0.23529411764705882,1.0,0.8571428571428571,0.24,0.8333333333333334,1.0,1.0,0.16666666666666666
65,11-1662013922332,synthetic-3-94-3,MinLA,0.6724137931034483,19981,4995.25,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,0.8333333333333334,0.5,1.0,0.06666666666666667
